Divisão;Livro;Capítulo;Versículos;Palavras;Caracteres
Velho Testamento;Ezequiel;'6';14;433;2318
Velho Testamento;Ezequiel;'7';27;684;3561
Velho Testamento;Ezequiel;'8';18;572;2952
Velho Testamento;Ezequiel;'9';11;353;1895
Velho Testamento;Ezequiel;'10';22;588;3102
Velho Testamento;Ezequiel;'11';25;622;3346
Velho Testamento;Ezequiel;'12';28;709;3715
Velho Testamento;Ezequiel;'13';23;650;3547
Velho Testamento;Ezequiel;'14';23;687;3684
Velho Testamento;Ezequiel;'15';8;180;1008
Velho Testamento;Ezequiel;'16';63;1652;8901
Velho Testamento;Ezequiel;'17';24;671;3698
Velho Testamento;Ezequiel;'18';32;789;4397
Velho Testamento;Ezequiel;'19';14;322;1732
Velho Testamento;Ezequiel;'20';49;1442;7654
Velho Testamento;Ezequiel;'21';32;833;4552
Velho Testamento;Ezequiel;'22';31;765;4143
Velho Testamento;Ezequiel;'23';49;1210;6718
Velho Testamento;Ezequiel;'24';27;650;3447
Velho Testamento;Ezequiel;'25';17;456;2485
Velho Testamento;Ezequiel;'26';21;612;3251
Velho Testamento;Ezequiel;'27';36;833;4681
Velho Testamento;Ezequiel;'28';26;697;3749
Velho Testamento;Ezequiel;'29';21;620;3201
Velho Testamento;Ezequiel;'30';26;622;3251
Velho Testamento;Ezequiel;'31';18;616;3237
Velho Testamento;Ezequiel;'32';32;913;4891
Velho Testamento;Ezequiel;'33';33;969;5129
Velho Testamento;Ezequiel;'34';31;827;4454
Velho Testamento;Ezequiel;'35';15;345;1842
Velho Testamento;Ezequiel;'36';38;1045;5660
Velho Testamento;Ezequiel;'37';28;780;4016
Velho Testamento;Ezequiel;'38';23;701;3764
Velho Testamento;Ezequiel;'39';29;826;4299
Velho Testamento;Ezequiel;'40';49;1433;7307
Velho Testamento;Ezequiel;'41';26;746;3950
Velho Testamento;Ezequiel;'42';20;557;3020
Velho Testamento;Ezequiel;'43';27;795;4080
Velho Testamento;Ezequiel;'44';31;890;4950
Velho Testamento;Ezequiel;'45';25;749;3987
Velho Testamento;Ezequiel;'46';24;766;4082
Velho Testamento;Ezequiel;'47';23;708;3621
Velho Testamento;Ezequiel;'48';35;971;5063
Velho Testamento;Daniel;'1';21;577;3056
Velho Testamento;Daniel;'2';49;1410;7461
Velho Testamento;Daniel;'3';30;932;5408
Velho Testamento;Daniel;'4';37;1199;6338
Velho Testamento;Daniel;'5';31;935;5110
Velho Testamento;Daniel;'6';28;864;4599
Velho Testamento;Daniel;'7';28;875;4673
Velho Testamento;Daniel;'8';27;764;4048
Velho Testamento;Daniel;'9';27;916;4934
Velho Testamento;Daniel;'10';21;571;3078
Velho Testamento;Daniel;'11';45;1289;6907
Velho Testamento;Daniel;'12';13;345;1887
Velho Testamento;Oséias;'1';11;300;1578
Velho Testamento;Oséias;'2';23;592;3007
Velho Testamento;Oséias;'3';5;131;673
Velho Testamento;Oséias;'4';19;431;2508
Velho Testamento;Oséias;'5';15;333;1823
Velho Testamento;Oséias;'6';11;217;1204
Velho Testamento;Oséias;'7';16;366;1984
Velho Testamento;Oséias;'8';14;276;1593
Velho Testamento;Oséias;'9';17;420;2339
Velho Testamento;Oséias;'10';15;372;2174
Velho Testamento;Oséias;'11';12;267;1428
Velho Testamento;Oséias;'12';14;284;1518
Velho Testamento;Oséias;'13';16;362;1990
Velho Testamento;Oséias;'14';9;216;1192
Velho Testamento;Joel;'1';20;444;2476
Velho Testamento;Joel;'2';32;838;4540
Velho Testamento;Joel;'3';21;506;2708
Velho Testamento;Amós;'1';15;388;2092
Velho Testamento;Amós;'2';16;382;2049
Velho Testamento;Amós;'3';15;347;1875
Velho Testamento;Amós;'4';13;399;2203
Velho Testamento;Amós;'5';27;582;3157
Velho Testamento;Amós;'6';14;354;1880
Velho Testamento;Amós;'7';17;405;2179
Velho Testamento;Amós;'8';14;363;1914
Velho Testamento;Amós;'9';15;474;2377
Velho Testamento;Obadias;'1';21;550;3025
Velho Testamento;Jonas;'1';17;454;2442
Velho Testamento;Jonas;'2';10;196;1026
Velho Testamento;Jonas;'3';10;244;1281
Velho Testamento;Jonas;'4';11;301;1576
Velho Testamento;Miquéias;'1';16;393;2123
Velho Testamento;Miquéias;'2';13;341;1927
Velho Testamento;Miquéias;'3';12;320;1669
Velho Testamento;Miquéias;'4';13;400;2097
Velho Testamento;Miquéias;'5';15;368;1976
Velho Testamento;Miquéias;'6';16;388;2035
Velho Testamento;Miquéias;'7';20;527;2743
Velho Testamento;Naum;'1';15;374;1950
Velho Testamento;Naum;'2';13;326;1880
Velho Testamento;Naum;'3';19;473;2615
Velho Testamento;Habacuque;'1';17;400;2179
Velho Testamento;Habacuque;'2';20;519;2740
Velho Testamento;Habacuque;'3';19;442;2433
Velho Testamento;Sofonias;'1';18;485;2627
Velho Testamento;Sofonias;'2';15;429;2319
Velho Testamento;Sofonias;'3';20;540;2998
Velho Testamento;Ageu;'1';15;407;2206
Velho Testamento;Ageu;'2';23;608;3343
Velho Testamento;Zacarias;'1';21;543;3091
Velho Testamento;Zacarias;'2';13;287;1464
Velho Testamento;Zacarias;'3';10;269;1453
Velho Testamento;Zacarias;'4';14;315;1665
Velho Testamento;Zacarias;'5';11;290;1454
Velho Testamento;Zacarias;'6';15;352;1898
Velho Testamento;Zacarias;'7';14;346;1957
Velho Testamento;Zacarias;'8';23;616;3309
Velho Testamento;Zacarias;'9';17;466;2455
Velho Testamento;Zacarias;'10';12;334;1785
Velho Testamento;Zacarias;'11';17;434;2354
Velho Testamento;Zacarias;'12';14;411;2220
Velho Testamento;Zacarias;'13';9;277;1504
Velho Testamento;Zacarias;'14';21;644;3459
Velho Testamento;Malaquias;'1';14;452;2380
Velho Testamento;Malaquias;'2';17;507;2732
Velho Testamento;Malaquias;'3';18;521;2820
Velho Testamento;Malaquias;'4';6;165;865
Novo Testamento;Mateus;'1';25;464;2381
Novo Testamento;Mateus;'2';23;538;2942
Novo Testamento;Mateus;'3';17;355;1895
Novo Testamento;Mateus;'4';25;454;2562
Novo Testamento;Mateus;'5';48;926;5112
Novo Testamento;Mateus;'6';34;758;4082
Novo Testamento;Mateus;'7';29;527;2912
Novo Testamento;Mateus;'8';34;637;3653
Novo Testamento;Mateus;'9';38;691;4018
Novo Testamento;Mateus;'10';42;822;4347
Novo Testamento;Mateus;'11';30;596;3177
Novo Testamento;Mateus;'12';50;998;5385
Novo Testamento;Mateus;'13';58;1164;6270
Novo Testamento;Mateus;'14';36;607;3404
Novo Testamento;Mateus;'15';39;690;3938
Novo Testamento;Mateus;'16';28;579;3227
Novo Testamento;Mateus;'17';27;532;3025
Novo Testamento;Mateus;'18';35;741;4056
Novo Testamento;Mateus;'19';30;595;3404
Novo Testamento;Mateus;'20';34;645;3662
Novo Testamento;Mateus;'21';46;918;5278
Novo Testamento;Mateus;'22';46;719;4098
Novo Testamento;Mateus;'23';39;787;4331
Novo Testamento;Mateus;'24';51;903;4898
Novo Testamento;Mateus;'25';46;839;4671
Novo Testamento;Mateus;'26';75;1400;7951
Novo Testamento;Mateus;'27';66;1136;6645
Novo Testamento;Mateus;'28';20;389;2189
Novo Testamento;Marcos;'1';45;778;4339
Novo Testamento;Marcos;'2';28;581;3261
Novo Testamento;Marcos;'3';35;615;3302
Novo Testamento;Marcos;'4';41;775;4212
Novo Testamento;Marcos;'5';43;769;4289
Novo Testamento;Marcos;'6';56;1120;6190
Novo Testamento;Marcos;'7';37;681;3859
Novo Testamento;Marcos;'8';38;708;4067
Novo Testamento;Marcos;'9';50;1002;5505
Novo Testamento;Marcos;'10';52;1011;5660
Novo Testamento;Marcos;'11';33;639;3649
Novo Testamento;Marcos;'12';44;945;5313
Novo Testamento;Marcos;'13';37;702;3909
Novo Testamento;Marcos;'14';72;1346;7503
Novo Testamento;Marcos;'15';47;788;4460
Novo Testamento;Marcos;'16';20;372;2131
Novo Testamento;Lucas;'1';80;1351;7328
Novo Testamento;Lucas;'2';52;947;5122
Novo Testamento;Lucas;'3';38;815;4165
Novo Testamento;Lucas;'4';44;848;4608
Novo Testamento;Lucas;'5';39;819;4642
Novo Testamento;Lucas;'6';49;1066;5733
Novo Testamento;Lucas;'7';50;1031;5601
Novo Testamento;Lucas;'8';56;1210;6675
Novo Testamento;Lucas;'9';62;1269;7082
Novo Testamento;Lucas;'10';42;865;4671
Novo Testamento;Lucas;'11';54;1137;6275
Novo Testamento;Lucas;'12';59;1184;6437
Novo Testamento;Lucas;'13';35;727;4055
Novo Testamento;Lucas;'14';35;704;3817
Novo Testamento;Lucas;'15';32;593;3247
Novo Testamento;Lucas;'16';31;665;3604
Novo Testamento;Lucas;'17';37;632;3506
Novo Testamento;Lucas;'18';43;738;4133
Novo Testamento;Lucas;'19';48;849;4735
Novo Testamento;Lucas;'20';47;806;4622
Novo Testamento;Lucas;'21';38;677;3780
Novo Testamento;Lucas;'22';71;1187;6557
Novo Testamento;Lucas;'23';56;957;5511
Novo Testamento;Lucas;'24';53;920;5221
Novo Testamento;João;'1';51;904;4704
Novo Testamento;João;'2';25;432;2381
Novo Testamento;João;'3';36;719;3703
Novo Testamento;João;'4';54;973;5234
Novo Testamento;João;'5';47;906;4726
Novo Testamento;João;'6';71;1333;7056
Novo Testamento;João;'7';53;889;4955
Novo Testamento;João;'8';59;1111;6150
Novo Testamento;João;'9';41;724;3960
Novo Testamento;João;'10';42;734;3887
Novo Testamento;João;'11';57;951;5358
Novo Testamento;João;'12';50;985;5225
Novo Testamento;João;'13';38;744;3985
Novo Testamento;João;'14';31;616;3119
Novo Testamento;João;'15';27;548;2781
Novo Testamento;João;'16';33;660;3450
Novo Testamento;João;'17';26;559;2768
Novo Testamento;João;'18';40;802;4477
Novo Testamento;João;'19';42;885;4974
Novo Testamento;João;'20';31;623;3473
Novo Testamento;João;'21';25;585;3325
Novo Testamento;Atos;'1';26;582;3327
Novo Testamento;Atos;'2';47;921;5194
Novo Testamento;Atos;'3';26;564;3027
Novo Testamento;Atos;'4';37;771;4279
Novo Testamento;Atos;'5';42;874;5068
Novo Testamento;Atos;'6';15;311;1821
Novo Testamento;Atos;'7';60;1252;6806
Novo Testamento;Atos;'8';40;782;4361
Novo Testamento;Atos;'9';43;887;4950
Novo Testamento;Atos;'10';48;974;5334
Novo Testamento;Atos;'11';30;584;3243
Novo Testamento;Atos;'12';25;552;3018
Novo Testamento;Atos;'13';52;1074;6070
Novo Testamento;Atos;'14';28;538;3180
Novo Testamento;Atos;'15';41;805;4787
Novo Testamento;Atos;'16';40;827;4734
Novo Testamento;Atos;'17';34;768;4376
Novo Testamento;Atos;'18';28;562;3246
Novo Testamento;Atos;'19';41;867;5067
Novo Testamento;Atos;'20';38;765;4346
Novo Testamento;Atos;'21';40;921;5260
Novo Testamento;Atos;'22';30;648;3549
Novo Testamento;Atos;'23';35;753;4350
Novo Testamento;Atos;'24';27;553;3220
Novo Testamento;Atos;'25';27;594;3503
Novo Testamento;Atos;'26';32;715;3961
Novo Testamento;Atos;'27';44;928;5203
Novo Testamento;Atos;'28';31;717;4037
Novo Testamento;Romanos;'1';32;653;3846
Novo Testamento;Romanos;'2';29;565;3061
Novo Testamento;Romanos;'3';31;523;2914
Novo Testamento;Romanos;'4';25;520;2854
Novo Testamento;Romanos;'5';21;482;2652
Novo Testamento;Romanos;'6';23;447;2586
Novo Testamento;Romanos;'7';25;542;2787
Novo Testamento;Romanos;'8';39;854;4663
Novo Testamento;Romanos;'9';33;646;3435
Novo Testamento;Romanos;'10';21;418;2191
Novo Testamento;Romanos;'11';36;718;4071
Novo Testamento;Romanos;'12';21;378;2182
Novo Testamento;Romanos;'13';14;328;1811
Novo Testamento;Romanos;'14';23;511;2571
Novo Testamento;Romanos;'15';33;655;3739
Novo Testamento;Romanos;'16';27;483;2694
Novo Testamento;1 Coríntios;'1';31;588;3212
Novo Testamento;1 Coríntios;'2';16;336;1917
Novo Testamento;1 Coríntios;'3';23;418;2226
Novo Testamento;1 Coríntios;'4';21;440;2451
Novo Testamento;1 Coríntios;'5';13;291;1615
Novo Testamento;1 Coríntios;'6';20;455;2431
Novo Testamento;1 Coríntios;'7';40;864;4618
Novo Testamento;1 Coríntios;'8';13;274;1483
Novo Testamento;1 Coríntios;'9';27;589;3125
Novo Testamento;1 Coríntios;'10';33;602;3319
Novo Testamento;1 Coríntios;'11';34;632;3423
Novo Testamento;1 Coríntios;'12';31;560;3031
Novo Testamento;1 Coríntios;'13';13;256;1426
Novo Testamento;1 Coríntios;'14';40;771;4409
Novo Testamento;1 Coríntios;'15';58;1052;5912
Novo Testamento;1 Coríntios;'16';24;385;2144
Novo Testamento;2 Coríntios;'1';24;560;3052
Novo Testamento;2 Coríntios;'2';17;337;1893
Novo Testamento;2 Coríntios;'3';18;371;2036
Novo Testamento;2 Coríntios;'4';18;388;2175
Novo Testamento;2 Coríntios;'5';21;425;2437
Novo Testamento;2 Coríntios;'6';18;317;1801
Novo Testamento;2 Coríntios;'7';16;401;2390
Novo Testamento;2 Coríntios;'8';24;501;2816
Novo Testamento;2 Coríntios;'9';15;347;1946
Novo Testamento;2 Coríntios;'10';18;390;2261
Novo Testamento;2 Coríntios;'11';33;643;3669
Novo Testamento;2 Coríntios;'12';21;493;2786
Novo Testamento;2 Coríntios;'13';14;294;1632
Novo Testamento;Gálatas;'1';24;424;2283
Novo Testamento;Gálatas;'2';21;508;2948
Novo Testamento;Gálatas;'3';29;591;3209
Novo Testamento;Gálatas;'4';31;545;2982
Novo Testamento;Gálatas;'5';26;402;2393
Novo Testamento;Gálatas;'6';18;327;1816
Novo Testamento;Efésios;'1';23;464;2537
Novo Testamento;Efésios;'2';22;408;2318
Novo Testamento;Efésios;'3';21;383;2154
Novo Testamento;Efésios;'4';32;561;3076
Novo Testamento;Efésios;'5';33;510;2849
Novo Testamento;Efésios;'6';24;457;2473
Novo Testamento;Filipenses;'1';30;584;3218
Novo Testamento;Filipenses;'2';30;557;3083
Novo Testamento;Filipenses;'3';21;433;2426
Novo Testamento;Filipenses;'4';23;449;2517
Novo Testamento;Colossenses;'1';29;627;3431
Novo Testamento;Colossenses;'2';23;457;2663
Novo Testamento;Colossenses;'3';25;447;2605
Novo Testamento;Colossenses;'4';18;340;1879
Novo Testamento;1 Tessalonicenses;'1';10;242;1304
Novo Testamento;1 Tessalonicenses;'2';20;474;2678
Novo Testamento;1 Tessalonicenses;'3';13;278;1560
Novo Testamento;1 Tessalonicenses;'4';18;366;2113
Novo Testamento;1 Tessalonicenses;'5';28;395;2200
Novo Testamento;2 Tessalonicenses;'1';12;289;1505
Novo Testamento;2 Tessalonicenses;'2';17;357;1935
Novo Testamento;2 Tessalonicenses;'3';18;318;1776
Novo Testamento;1 Timóteo;'1';20;413;2325
Novo Testamento;1 Timóteo;'2';15;252;1389
Novo Testamento;1 Timóteo;'3';16;274;1606
Novo Testamento;1 Timóteo;'4';16;293;1636
Novo Testamento;1 Timóteo;'5';25;452;2586
Novo Testamento;1 Timóteo;'6';21;458;2590
Novo Testamento;2 Timóteo;'1';18;393;2103
Novo Testamento;2 Timóteo;'2';26;459;2624
Novo Testamento;2 Timóteo;'3';17;281;1786
Novo Testamento;2 Timóteo;'4';22;371;2096
Novo Testamento;Tito;'1';16;328;1993
Novo Testamento;Tito;'2';15;255;1495
Novo Testamento;Tito;'3';15;274;1659
Novo Testamento;Filemom;'1';25;406;2165
Novo Testamento;Hebreus;'1';14;288;1569
Novo Testamento;Hebreus;'2';18;390;2205
Novo Testamento;Hebreus;'3';19;345;1916
Novo Testamento;Hebreus;'4';16;349;1989
Novo Testamento;Hebreus;'5';14;284;1641
Novo Testamento;Hebreus;'6';20;393;2261
Novo Testamento;Hebreus;'7';28;552;3286
Novo Testamento;Hebreus;'8';13;331;1868
Novo Testamento;Hebreus;'9';28;631;3635
Novo Testamento;Hebreus;'10';39;693;4070
Novo Testamento;Hebreus;'11';40;817;4601
Novo Testamento;Hebreus;'12';29;624;3552
Novo Testamento;Hebreus;'13';25;461;2622
Novo Testamento;Tiago;'1';27;496;2734
Novo Testamento;Tiago;'2';26;506;2788
Novo Testamento;Tiago;'3';18;366;2047
Novo Testamento;Tiago;'4';17;327;1780
Novo Testamento;Tiago;'5';20;424;2379
Novo Testamento;1 Pedro;'1';25;560;3233
Novo Testamento;1 Pedro;'2';25;489;2895
Novo Testamento;1 Pedro;'3';22;487;2826
Novo Testamento;1 Pedro;'4';19;409;2368
Novo Testamento;1 Pedro;'5';14;273;1601
Novo Testamento;2 Pedro;'1';21;434;2574
Novo Testamento;2 Pedro;'2';22;506;3122
Novo Testamento;2 Pedro;'3';18;426;2464
Novo Testamento;1 João;'1';10;216;1138
Novo Testamento;1 João;'2';29;614;3312
Novo Testamento;1 João;'3';24;493;2633
Novo Testamento;1 João;'4';21;457;2247
Novo Testamento;1 João;'5';21;483;2362
Novo Testamento;2 João;'1';13;273;1472
Novo Testamento;3 João;'1';14;265;1428
Novo Testamento;Judas;'1';25;558;3436
Novo Testamento;Apocalipse;'1';20;564;2799
Novo Testamento;Apocalipse;'2';29;714;3697
Novo Testamento;Apocalipse;'3';22;564;2875
Novo Testamento;Apocalipse;'4';11;345;1822
Novo Testamento;Apocalipse;'5';14;404;2015
Novo Testamento;Apocalipse;'6';17;477;2430
Novo Testamento;Apocalipse;'7';17;450;2423
Novo Testamento;Apocalipse;'8';13;365;1862
Novo Testamento;Apocalipse;'9';21;545;2813
Novo Testamento;Apocalipse;'10';11;309;1455
Novo Testamento;Apocalipse;'11';19;545;2830
Novo Testamento;Apocalipse;'12';17;478;2368
Novo Testamento;Apocalipse;'13';18;478;2444
Novo Testamento;Apocalipse;'14';20;614;3055
Novo Testamento;Apocalipse;'15';8;239;1231
Novo Testamento;Apocalipse;'16';21;526;2680
Novo Testamento;Apocalipse;'17';18;487;2488
Novo Testamento;Apocalipse;'18';24;692;3661
Novo Testamento;Apocalipse;'19';21;595;3077
Novo Testamento;Apocalipse;'20';15;424;2128
Novo Testamento;Apocalipse;'21';27;684;3511
Novo Testamento;Apocalipse;'22';21;501;2621
